epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,2525.68,1.04867,0.58151,1.04699,0.94097,0.89809,0.91239,0.59625,1.16079,0.59534,1.03976,0.0004258,0.0004258,0.0004258
60,2568.94,1.05591,0.58203,1.05368,0.94223,0.88153,0.91769,0.59365,1.18081,0.61604,1.05341,0.0004159,0.0004159,0.0004159
61,2611.47,1.03975,0.56147,1.05021,0.93865,0.89246,0.9173,0.58614,1.15351,0.59431,1.04154,0.000406,0.000406,0.000406
62,2653.85,1.05213,0.57581,1.06084,0.94024,0.89283,0.91457,0.59449,1.16058,0.60066,1.0434,0.0003961,0.0003961,0.0003961
63,2698.36,1.04487,0.57503,1.05545,0.93373,0.89,0.92051,0.58918,1.16172,0.58724,1.03762,0.0003862,0.0003862,0.0003862
64,2741.35,1.03501,0.57242,1.04494,0.95458,0.87424,0.91102,0.58393,1.19292,0.60783,1.0678,0.0003763,0.0003763,0.0003763
65,2784.36,1.04382,0.56599,1.04866,0.9361,0.8838,0.90611,0.58402,1.16645,0.59595,1.05826,0.0003664,0.0003664,0.0003664
66,2828.26,1.03186,0.56072,1.04114,0.93832,0.8933,0.91484,0.59339,1.17844,0.5928,1.05461,0.0003565,0.0003565,0.0003565
67,2870.83,1.04099,0.56915,1.05417,0.94222,0.89056,0.92296,0.59645,1.15123,0.60839,1.04124,0.0003466,0.0003466,0.0003466
68,2913.53,1.03056,0.5528,1.05407,0.93835,0.89332,0.92584,0.60223,1.13718,0.59799,1.0295,0.0003367,0.0003367,0.0003367
69,2957.15,1.02403,0.55077,1.04435,0.92924,0.88734,0.91726,0.5858,1.15446,0.58728,1.0405,0.0003268,0.0003268,0.0003268
70,2999.69,1.01227,0.54398,1.0419,0.93628,0.87806,0.90871,0.58416,1.13789,0.59307,1.03057,0.0003169,0.0003169,0.0003169
71,3042.49,1.0027,0.54452,1.04284,0.95058,0.87503,0.92911,0.59575,1.1486,0.58569,1.03851,0.000307,0.000307,0.000307
72,3086.06,1.01138,0.54594,1.03868,0.92904,0.88533,0.92037,0.59721,1.12252,0.60516,1.02201,0.0002971,0.0002971,0.0002971
73,3128.51,1.01748,0.5451,1.04277,0.94698,0.89235,0.92722,0.597,1.12301,0.59444,1.01689,0.0002872,0.0002872,0.0002872
74,3170.64,1.022,0.54057,1.04886,0.96401,0.87878,0.9168,0.59815,1.14493,0.58516,1.02723,0.0002773,0.0002773,0.0002773
75,3213.29,1.00618,0.53674,1.04179,0.96219,0.88796,0.92858,0.59186,1.16268,0.56729,1.05613,0.0002674,0.0002674,0.0002674
76,3256.74,0.99419,0.52734,1.04083,0.9607,0.87332,0.91421,0.59223,1.14896,0.59195,1.04489,0.0002575,0.0002575,0.0002575
77,3299.29,1.0027,0.53666,1.03514,0.94927,0.88105,0.92013,0.60252,1.14405,0.58014,1.03645,0.0002476,0.0002476,0.0002476
78,3341.2,0.97686,0.51914,1.02648,0.95092,0.89038,0.91303,0.60954,1.14086,0.56703,1.02798,0.0002377,0.0002377,0.0002377
79,3384.55,0.99649,0.52641,1.04111,0.94345,0.90273,0.92463,0.61943,1.11314,0.55174,1.02395,0.0002278,0.0002278,0.0002278
80,3426.55,0.99442,0.5232,1.03343,0.92709,0.90112,0.91579,0.60684,1.10845,0.57259,1.01172,0.0002179,0.0002179,0.0002179
81,3468.86,0.99109,0.52606,1.03424,0.93745,0.8787,0.91084,0.60593,1.14489,0.57186,1.03779,0.000208,0.000208,0.000208
82,3512.48,0.97874,0.51543,1.03004,0.93858,0.89626,0.92306,0.60467,1.15073,0.55269,1.05488,0.0001981,0.0001981,0.0001981
83,3554.72,0.98159,0.5121,1.0336,0.95702,0.90164,0.93628,0.61558,1.11501,0.56354,1.03173,0.0001882,0.0001882,0.0001882
84,3596.81,0.96937,0.51042,1.02619,0.95484,0.89233,0.92535,0.61615,1.1383,0.5635,1.0264,0.0001783,0.0001783,0.0001783
85,3639.08,0.9784,0.51564,1.02935,0.95281,0.89259,0.92721,0.60834,1.12823,0.52975,1.03636,0.0001684,0.0001684,0.0001684
86,3682.12,0.96794,0.50639,1.03362,0.95273,0.89681,0.93397,0.61212,1.11955,0.53794,1.01796,0.0001585,0.0001585,0.0001585
87,3724.13,0.94475,0.49999,1.01857,0.95045,0.89073,0.92443,0.60527,1.10222,0.53598,1.01042,0.0001486,0.0001486,0.0001486
88,3766.29,0.94882,0.5027,1.02107,0.95121,0.89401,0.92713,0.60972,1.08912,0.54206,1.00572,0.0001387,0.0001387,0.0001387
89,3809.63,0.96318,0.49944,1.02722,0.94338,0.89572,0.91934,0.60412,1.10786,0.53993,1.02665,0.0001288,0.0001288,0.0001288
90,3852.46,0.95289,0.49843,1.02119,0.94844,0.89937,0.92766,0.61253,1.10796,0.53489,1.02486,0.0001189,0.0001189,0.0001189
91,3894,0.94219,0.44808,1.04362,0.97027,0.88788,0.92271,0.60395,1.10909,0.53063,1.03042,0.000109,0.000109,0.000109
92,3933.56,0.91573,0.43281,1.03395,0.95385,0.90229,0.92496,0.60693,1.10902,0.52688,1.01988,9.91e-05,9.91e-05,9.91e-05
93,3972.8,0.91923,0.43592,1.03736,0.96407,0.89677,0.92774,0.61399,1.10143,0.51033,1.02332,8.92e-05,8.92e-05,8.92e-05
94,4011.94,0.90114,0.42439,1.02294,0.95001,0.90016,0.92417,0.60842,1.11483,0.53657,1.03089,7.93e-05,7.93e-05,7.93e-05
95,4050.91,0.89215,0.42225,1.02365,0.94391,0.90062,0.92088,0.61698,1.10492,0.55066,1.00975,6.94e-05,6.94e-05,6.94e-05
96,4090.26,0.89873,0.42332,1.03075,0.95472,0.89344,0.92386,0.61261,1.10818,0.54039,1.02442,5.95e-05,5.95e-05,5.95e-05
97,4129.9,0.8851,0.41766,1.02148,0.95366,0.9006,0.92592,0.61865,1.10386,0.53808,1.01943,4.96e-05,4.96e-05,4.96e-05
98,4169.69,0.883,0.41626,1.01776,0.95845,0.90024,0.92864,0.61819,1.10942,0.54283,1.02429,3.97e-05,3.97e-05,3.97e-05
99,4209.23,0.88472,0.41425,1.02401,0.96469,0.89338,0.92775,0.61654,1.10299,0.53211,1.02343,2.98e-05,2.98e-05,2.98e-05
100,4248.49,0.87527,0.40848,1.02258,0.94637,0.89971,0.92232,0.61409,1.1093,0.53266,1.0212,1.99e-05,1.99e-05,1.99e-05
